#
#"Frequency / GHz"	"Z1 [Real Part] - Impedance / Ohm"
#----------------------------------------------------
5.9150000000000	51.038711547852
5.9200000000000	51.039047241211
5.9250000000000	51.039386749268
5.9300000000000	51.039726257324
5.9350000000000	51.040061950684
5.9400000000000	51.040401458740
5.9450000000000	51.040740966797
5.9500000000000	51.041084289551
5.9550000000000	51.041423797607
5.9600000000000	51.041767120361
5.9650000000000	51.042106628418
5.9700000000000	51.042449951172
5.9750000000000	51.042793273926
5.9800000000000	51.043136596680
5.9850000000000	51.043479919434
5.9900000000000	51.043823242188
5.9950000000000	51.044166564941
6.0000000000000	51.044513702393
6.0050000000000	51.044857025146
6.0100000000000	51.045204162598
6.0150000000000	51.045551300049
6.0200000000000	51.045898437500
6.0250000000000	51.046245574951
6.0300000000000	51.046592712402
6.0350000000000	51.046939849854
6.0400000000000	51.047290802002
6.0450000000000	51.047637939453
